datetime,polarity,modality,uncertainty
2006-11-20,0.8928928413328293,-1.2092768591273353,2.6974828034116576
2006-12-05,-0.3783006609270375,0.7552146256193684,-1.200668614545635
2006-12-13,-0.5203752288266701,0.35617729278019433,-0.9407918533484819
2006-12-15,-1.238225677161654,0.7552146256193684,-1.200668614545635
2006-12-28,-0.4231663139479744,-0.24237870647856688,-0.42103833095417637
2006-12-29,-0.18388283116964646,1.2156423173568771,-0.16116156975702356
2007-01-02,-0.5353304465003156,-0.0428600400589799,-0.6809150921513292
2007-01-08,-0.12406196047506471,0.35617729278019433,-0.9407918533484819
2007-01-09,0.035460361377154255,0.10038413070380052,-0.2477871568227412
2007-01-10,-0.21827983181903124,0.3623163286700277,-0.42103833095417637
2007-01-11,0.003057389750922362,0.35617729278019433,-0.6809150921513292
2007-01-12,-0.7820915381154665,0.8473001639668702,0.09871519144012933
2007-01-17,0.4043557306604095,0.2231648485004696,-0.07453598269130593
2007-01-18,0.00928873044827456,0.2947869338818598,-0.42103833095417637
2007-01-23,-0.6026289260317205,0.7552146256193684,-0.9407918533484819
2007-01-24,-0.6026289260317205,0.7552146256193684,-0.9407918533484819
2007-01-28,-0.7895691469522891,0.7552146256193684,-1.200668614545635
2007-02-02,-0.5876737083580748,1.1849471379077097,-1.200668614545635
2007-02-05,-0.17640522233282366,-0.441897372898154,0.35859195263728205
2007-02-16,-1.1298003490277242,0.15665862636060718,-0.8108534727499055
2007-02-22,0.33954978740794595,0.9854284714881227,-0.6809150921513292
2007-03-08,-0.6624497967263024,-0.0428600400589799,-0.16116156975702356
2007-03-11,-0.04928587210683696,1.2156423173568771,-0.42103833095417637
2007-03-27,0.2722513078765414,0.35617729278019433,-0.9407918533484819
2007-04-02,-0.6250617525421885,0.7859098050685358,-0.42103833095417637
2007-04-09,-0.05302467652524829,0.7552146256193684,-0.6809150921513292
2007-04-12,-0.5353304465003156,-0.441897372898154,-0.16116156975702356
2007-04-13,-0.5353304465003156,-0.441897372898154,-0.16116156975702356
2007-04-18,0.18252000183466838,0.35617729278019433,-0.42103833095417637
2007-04-23,-0.4979424023162019,0.35617729278019433,-0.9407918533484819
2007-04-24,-1.477509159939982,-0.8409347057373282,0.35859195263728205
2007-04-25,0.04792304277185865,0.6631290872718667,-0.5509767115527527
2007-04-26,0.9601913208642338,0.35617729278019433,0.35859195263728205
2007-04-27,-3.130060712877809,-0.012164860609812608,-0.16116156975702356
2007-05-03,-0.4306439227847971,0.7552146256193684,-1.200668614545635
2007-05-10,-1.1111063269356674,0.7552146256193684,-1.200668614545635
2007-05-14,-0.2661365283746966,0.35617729278019433,-0.42103833095417637
2007-05-21,-0.12406196047506471,0.35617729278019433,-0.6809150921513292
2007-05-30,-0.500434938595143,1.051934693627985,-1.1140430274799173
2007-06-04,0.6760421850649695,-0.0428600400589799,0.09871519144012933
2007-06-17,1.6182208985046358,-1.6390093714156768,2.6974828034116576
2007-06-18,1.506056765952294,-0.3805070139998196,0.6184687138344351
2007-06-20,0.39937065810252803,0.7552146256193684,-1.200668614545635
2007-06-21,0.09278869579279522,0.35617729278019433,-0.6809150921513292
2007-06-22,0.6536093585545013,1.6146796501960512,-0.9407918533484819
2007-06-25,0.05540065160868146,0.35617729278019433,-0.9407918533484819
2007-06-26,0.6536093585545013,0.5863911386489485,-0.42103833095417637
2007-06-29,0.26228116276077734,-0.027512450334396175,-0.2044743632898823
2007-06-30,0.5339676171653371,0.6426656343057552,-0.6809150921513292
2007-07-01,1.2892061096844345,0.8166049845177029,-0.42103833095417637
2007-07-02,0.04792304277185879,0.17200621608519082,-0.5509767115527527
2007-07-03,0.1675647841610227,-1.2092768591273353,0.8783454750315879
2007-07-05,0.35201246880265064,0.2640917544326925,0.2719663655715646
2007-07-09,-0.5353304465003156,-0.8409347057373282,1.3980989974258937
2007-07-12,-0.9839869767096804,-0.0428600400589799,0.09871519144012933
2007-07-22,1.2144300213162074,-0.0428600400589799,0.35859195263728205
2007-07-23,1.2144300213162074,-0.0428600400589799,0.35859195263728205
2007-07-24,0.219908046018782,0.7552146256193684,-0.9407918533484819
2007-07-25,1.30416132735808,0.35617729278019433,-0.42103833095417637
2007-07-26,0.1675647841610227,-2.0380467042548505,0.6184687138344351
2007-08-07,0.9601913208642338,0.35617729278019433,-0.6809150921513292
2007-08-21,0.48910196414440105,0.7552146256193684,-0.9407918533484819
2007-08-29,0.34702739624476864,-1.2399720385765025,0.8783454750315879
2007-09-05,0.38441544042888226,0.7859098050685358,-0.42103833095417637
2007-09-07,-0.3745618565086266,0.15665862636060718,-0.6809150921513292
2007-09-09,-0.21379326651693756,-0.0428600400589799,-0.6809150921513292
2007-09-14,-0.7372258850945297,0.7552146256193684,-0.9407918533484819
2007-09-18,0.5863108790230964,0.41756765167852883,0.09871519144012933
2007-09-19,0.5638780525126282,0.7552146256193684,-0.6809150921513292
2007-09-20,-1.3429122008771723,0.35617729278019433,-0.9407918533484819
2007-09-24,-0.16145000465917803,0.7552146256193684,-1.200668614545635
2007-09-25,-0.5203752288266701,0.35617729278019433,-0.9407918533484819
2007-10-11,-0.5203752288266701,0.7552146256193684,-1.200668614545635
2007-10-16,0.13017673997690898,-0.0428600400589799,-0.6809150921513292
2007-10-22,0.9183167113780267,0.448262831127696,-0.8368411488696208
2007-10-23,0.6536093585545013,0.3868724722293615,-0.6809150921513292
2007-11-13,1.0947882799270434,0.3868724722293615,-0.42103833095417637
2007-11-14,0.42180348461299616,0.14131103663602385,1.1382222362287406
