date,open,high,low,close,adjclose,volume
2006-10-20,11.281428337097168,11.427143096923828,11.238571166992188,11.421428680419922,9.914265632629395,159853400
2006-10-23,11.427143096923828,11.699999809265137,11.392857551574707,11.6371431350708,10.101513862609863,208126800
2006-10-24,11.601428985595703,11.668571472167969,11.45714282989502,11.578571319580078,10.050670623779297,115803100
2006-10-25,11.621428489685059,11.714285850524902,11.572856903076172,11.668571472167969,10.128795623779297,121303700
2006-10-26,11.699999809265137,11.800000190734863,11.59000015258789,11.74142837524414,10.192039489746094,108189200
2006-10-27,11.678571701049805,11.778571128845215,11.430000305175781,11.487142562866211,9.971311569213867,148741600
2006-10-30,11.427143096923828,11.557143211364746,11.357142448425293,11.488571166992188,9.972548484802246,124979400
2006-10-31,11.635714530944824,11.668571472167969,11.46142864227295,11.582857131958008,10.054391860961914,125368600
2006-11-01,11.585714340209961,11.625714302062988,11.19428539276123,11.308571815490723,9.816303253173828,152798100
2006-11-02,11.274285316467285,11.331428527832031,11.214285850524902,11.282856941223145,9.793978691101074,116370800
2006-11-03,11.337142944335938,11.361428260803223,11.1128568649292,11.184286117553711,9.708417892456055,107972200
2006-11-06,11.278571128845215,11.437143325805664,11.204285621643066,11.3871431350708,9.884504318237305,108644200
2006-11-07,11.492856979370117,11.571428298950195,11.447142601013184,11.501428604125977,9.983710289001465,131483100
2006-11-08,11.431428909301758,11.812856674194336,11.412857055664062,11.778571128845215,10.224279403686523,172729200
2006-11-09,11.842857360839844,12.09857177734375,11.731428146362305,11.90571403503418,10.334646224975586,230763400
2006-11-10,11.935714721679688,11.942856788635254,11.785714149475098,11.874285697937012,10.307364463806152,93466100
2006-11-13,11.888571739196777,12.064285278320312,11.80571460723877,12.050000190734863,10.459890365600586,112668500
2006-11-14,12.114285469055176,12.142857551574707,11.985713958740234,12.142857551574707,10.540495872497559,147238700
2006-11-15,12.149999618530273,12.271428108215332,12.0,12.007143020629883,10.422690391540527,163830800
2006-11-16,12.124285697937012,12.328571319580078,12.088571548461914,12.229999542236328,10.616137504577637,173485200
2006-11-17,12.162857055664062,12.277142524719238,12.142857551574707,12.264286041259766,10.645899772644043,116606000
2006-11-20,12.199999809265137,12.428571701049805,12.171428680419922,12.35285758972168,10.722785949707031,142698500
2006-11-21,12.488571166992188,12.657142639160156,12.44428539276123,12.657142639160156,10.986915588378906,155666700
2006-11-22,12.712857246398926,12.964285850524902,12.550000190734863,12.90142822265625,11.198966979980469,167985300
2006-11-24,12.789999961853027,13.29714298248291,12.785714149475098,13.09000015258789,11.362654685974121,129669400
2006-11-27,13.215714454650879,13.308571815490723,12.785714149475098,12.791428565979004,11.103480339050293,268709000
2006-11-28,12.908571243286133,13.138571739196777,12.84428596496582,13.115714073181152,11.384974479675293,259043400
2006-11-29,13.285714149475098,13.307143211364746,12.892857551574707,13.114285469055176,11.383735656738281,289270800
2006-11-30,13.172857284545898,13.239999771118164,13.00857162475586,13.09428596496582,11.366375923156738,217621600
2006-12-01,13.114285469055176,13.1899995803833,12.871428489685059,13.045714378356934,11.324213027954102,198769900
